ID,Edad,Género,Estado Civil,Tipo de Contrato,Nivel de Responsabilidad,Satisfacción Laboral,Nivel de Estrés,Texto,Fecha y Hora,Estado de Estrés,Consejo para el Estrés
39,52,F,Divorciado,Tiempo Completo,Medio,1,9,"Hoy fue un día muy caótico, no pude concentrarme en nada.",2025-01-02 06:06:38.986,Estresado,Realiza un breve ejercicio de relajación sentado o escribe en una nota lo que te preocupa para despejar la mente.
18,21,F,Soltero,Tiempo Completo,Medio,3,2,"No he parado en todo el día, necesito un descanso urgente.",2024-08-06 09:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
4,37,M,Casado,Tiempo Parcial,Bajo,1,5,Me siento satisfecho con el progreso que logré hoy en mi trabajo.,2024-03-16 15:06:38.986,No Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
89,48,M,Casado,Tiempo Completo,Alto,1,10,Me siento agotado después de un día lleno de reuniones y tareas.,2025-03-09 22:06:38.986,Estresado,Realiza un breve ejercicio de relajación sentado o escribe en una nota lo que te preocupa para despejar la mente.
60,32,F,Casado,Tiempo Parcial,Medio,4,1,El ambiente laboral hoy fue muy colaborativo y enriquecedor.,2024-10-07 19:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
14,39,F,Divorciado,Tiempo Completo,Bajo,2,1,Me siento en paz con mi progreso y mis decisiones laborales.,2024-09-18 15:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
9,44,M,Divorciado,Tiempo Completo,Bajo,1,4,Me siento satisfecho con el progreso que logré hoy en mi trabajo.,2024-11-26 10:06:38.986,No Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
90,51,M,Divorciado,Tiempo Completo,Medio,3,2,El ambiente laboral hoy fue muy relajado y agradable.,2024-10-29 22:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
53,57,M,Casado,Tiempo Parcial,Medio,1,10,"Hoy todo salió sin problemas, fue un día tranquilo y productivo.",2024-03-25 21:06:38.986,Estresado,Realiza un breve ejercicio de relajación sentado o escribe en una nota lo que te preocupa para despejar la mente.
2,26,F,Casado,Tiempo Completo,Bajo,3,2,El apoyo de mi equipo me ayudó mucho hoy.,2024-07-20 02:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
84,50,F,Divorciado,Tiempo Parcial,Bajo,4,4,"Hoy tuve que lidiar con un cliente muy difícil, pero logré resolver el problema.",2025-02-27 20:06:38.986,No Estresado,"Tómate una pausa corta, ve por un vaso de agua y haz una pequeña caminata dentro de la oficina."
92,57,M,Casado,Tiempo Parcial,Bajo,2,1,Me siento satisfecho con el progreso que logré hoy en mi trabajo.,2025-02-06 03:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
60,32,F,Casado,Tiempo Parcial,Medio,1,1,El estrés no me deja disfrutar de los pequeños logros del día.,2024-08-10 21:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
71,35,M,Casado,Tiempo Completo,Alto,2,5,Me siento agobiado por la falta de claridad en las instrucciones que recibí.,2024-10-18 04:06:38.986,Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
44,30,F,Casado,Tiempo Parcial,Alto,1,9,Me siento agotado mental y físicamente.,2025-02-03 21:06:38.986,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
8,31,F,Casado,Tiempo Parcial,Alto,3,3,"Hoy fue un día muy gratificante, recibí el reconocimiento de mi jefe.",2025-02-27 10:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
47,45,M,Divorciado,Tiempo Parcial,Alto,2,5,Me siento frustrado porque no tengo suficiente tiempo para hacer todo lo que necesito.,2024-04-30 19:06:38.986,Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
35,27,F,Casado,Tiempo Parcial,Medio,1,3,"Hoy tuve que lidiar con un cliente muy difícil, pero logré resolver el problema.",2024-11-22 03:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
78,35,M,Casado,Tiempo Completo,Bajo,4,3,El estrés no me deja disfrutar de los momentos de descanso.,2025-02-10 23:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
81,56,M,Divorciado,Tiempo Completo,Bajo,3,2,"Hoy fue un día muy gratificante, recibí el reconocimiento de mi jefe.",2024-12-12 22:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
36,30,F,Casado,Tiempo Completo,Alto,2,8,Me siento abrumado por la cantidad de correos electrónicos que tengo que responder.,2025-02-02 23:06:38.986,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
50,43,F,Divorciado,Tiempo Parcial,Alto,1,9,Me siento agotado después de un día lleno de actividades y responsabilidades.,2025-02-14 10:06:38.987,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
4,37,M,Casado,Tiempo Parcial,Bajo,2,3,"El volumen de trabajo es demasiado alto, necesito apoyo urgente.",2024-08-10 03:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
2,26,F,Casado,Tiempo Completo,Bajo,1,5,"Hoy fue un día muy positivo, recibí el reconocimiento de mis colegas.",2024-06-27 08:06:38.987,No Estresado,Ponte tus audífonos y escucha tu canción favorita por unos minutos.
6,56,F,Casado,Tiempo Parcial,Alto,3,2,El equipo hoy estuvo descoordinado y eso hizo que todo fuera más difícil.,2024-11-13 02:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
54,21,M,Casado,Tiempo Completo,Medio,4,1,Me siento motivado por los nuevos desafíos que se presentaron hoy.,2024-11-04 23:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
4,37,M,Casado,Tiempo Parcial,Bajo,3,3,El estrés me está afectando tanto que no puedo disfrutar de mi tiempo libre.,2025-03-02 02:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
54,21,M,Casado,Tiempo Completo,Medio,2,8,Me siento frustrado porque no tengo suficiente tiempo para hacer todo lo que necesito.,2024-10-31 13:06:38.987,Estresado,Sal unos minutos a tomar aire fresco o mira un video relajante desde tu celular.
93,37,M,Soltero,Tiempo Completo,Bajo,2,10,"Hoy fue un día muy caótico, pero logré mantener la calma y resolver los problemas.",2024-04-27 04:06:38.987,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
63,38,M,Casado,Tiempo Completo,Medio,1,2,El estrés me está afectando tanto que no puedo disfrutar de mi tiempo libre.,2025-01-22 10:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
18,21,F,Soltero,Tiempo Completo,Medio,3,9,"Hoy fue un día muy desorganizado, pero logré sacar adelante mis tareas.",2025-01-03 11:06:38.987,Estresado,Sal unos minutos a tomar aire fresco o mira un video relajante desde tu celular.
90,51,M,Divorciado,Tiempo Completo,Medio,1,1,"Hoy fue un día muy gratificante, recibí feedback positivo de mi jefe.",2025-02-24 19:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
44,30,F,Casado,Tiempo Parcial,Alto,3,9,El ambiente laboral hoy fue muy tenso.,2024-04-13 13:06:38.987,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
34,42,F,Casado,Tiempo Completo,Alto,2,8,Me siento agotado después de un día lleno de actividades y responsabilidades.,2025-01-16 09:06:38.987,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
74,34,F,Soltero,Tiempo Completo,Bajo,1,3,"Hoy fue un día muy relajado, pude trabajar a mi propio ritmo.",2024-11-01 14:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
62,42,M,Soltero,Tiempo Completo,Alto,1,8,"Hoy fue un día muy desorganizado, pero logré sacar adelante mis tareas.",2025-01-24 01:06:38.987,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
100,31,F,Casado,Tiempo Parcial,Medio,3,5,El ambiente laboral hoy fue muy colaborativo y enriquecedor.,2024-11-22 14:06:38.987,No Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
14,39,F,Divorciado,Tiempo Completo,Bajo,4,9,Me siento abrumado por la cantidad de correos electrónicos que tengo que responder.,2024-04-21 02:06:38.987,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
95,31,F,Casado,Tiempo Completo,Medio,3,10,Me siento abrumado por la cantidad de correos electrónicos que tengo que responder.,2024-03-29 14:06:38.987,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
48,36,M,Divorciado,Tiempo Parcial,Bajo,4,8,Me siento agotado después de un día lleno de actividades y responsabilidades.,2025-02-03 13:06:38.987,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
15,35,M,Divorciado,Tiempo Parcial,Medio,3,4,"Hoy fue un día muy relajado, pude trabajar a mi propio ritmo.",2024-07-16 02:06:38.987,No Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
72,27,F,Divorciado,Tiempo Parcial,Bajo,2,8,Me siento abrumado por la cantidad de correos electrónicos que tengo que responder.,2025-03-03 09:06:38.987,Estresado,Sal unos minutos a tomar aire fresco o mira un video relajante desde tu celular.
78,35,M,Casado,Tiempo Completo,Bajo,1,5,Me siento abrumado por la cantidad de tareas que tengo que hacer mañana.,2025-02-05 04:06:38.987,Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
87,39,M,Casado,Tiempo Parcial,Alto,3,5,"El equipo trabajó muy bien hoy, todos colaboraron de manera eficiente.",2025-03-09 06:06:38.987,No Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
62,42,M,Soltero,Tiempo Completo,Alto,2,2,El apoyo de mis compañeros hoy fue fundamental para superar los obstáculos.,2025-01-16 08:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
40,32,M,Divorciado,Tiempo Completo,Alto,3,5,Me siento abrumado por la cantidad de responsabilidades que tengo.,2024-07-01 14:06:38.987,Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
85,39,M,Divorciado,Tiempo Completo,Medio,1,1,"Hoy fue un día muy positivo, recibí el reconocimiento de mis colegas.",2024-11-19 05:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
80,52,F,Soltero,Tiempo Parcial,Medio,3,5,Me siento frustrado porque no tengo suficiente tiempo para hacer todo lo que necesito.,2024-09-20 00:06:38.987,Estresado,"Tómate una pausa corta, ve por un vaso de agua y haz una pequeña caminata dentro de la oficina."
82,47,F,Soltero,Tiempo Completo,Alto,4,10,"Parece que el día no termina nunca, necesito desconectar un poco.",2024-06-09 02:06:38.987,Estresado,Realiza un breve ejercicio de relajación sentado o escribe en una nota lo que te preocupa para despejar la mente.
53,57,M,Casado,Tiempo Parcial,Medio,1,2,"Hoy fue un día muy productivo, logré avanzar en todos los proyectos importantes.",2024-04-11 20:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
24,27,F,Soltero,Tiempo Parcial,Bajo,4,4,El ambiente laboral hoy fue muy relajado y agradable.,2025-01-03 12:06:38.987,No Estresado,Ponte tus audífonos y escucha tu canción favorita por unos minutos.
26,50,M,Soltero,Tiempo Parcial,Medio,2,10,Me siento abrumado por la cantidad de correos electrónicos que tengo que responder.,2024-07-26 15:06:38.987,Estresado,Realiza un breve ejercicio de relajación sentado o escribe en una nota lo que te preocupa para despejar la mente.
89,48,M,Casado,Tiempo Completo,Alto,2,9,Me siento frustrado porque no tengo los recursos necesarios para hacer mi trabajo.,2024-05-13 06:06:38.987,Estresado,Realiza un breve ejercicio de relajación sentado o escribe en una nota lo que te preocupa para despejar la mente.
60,32,F,Casado,Tiempo Parcial,Medio,3,7,Me siento abrumado por la cantidad de tareas que tengo que hacer mañana.,2025-02-05 17:06:38.987,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
41,21,F,Soltero,Tiempo Completo,Alto,4,3,Me siento satisfecho con el progreso que logré hoy en mi trabajo.,2024-10-04 21:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
29,31,F,Casado,Tiempo Completo,Medio,4,5,"Pude enfocarme al 100% en lo importante, fue un día muy efectivo.",2025-02-14 10:06:38.987,No Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
15,35,M,Divorciado,Tiempo Parcial,Medio,1,2,Me siento agradecido por el apoyo que recibí de mis compañeros hoy.,2024-07-08 13:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
45,50,F,Casado,Tiempo Completo,Bajo,4,3,Me siento feliz con lo que logré hoy.,2024-09-04 16:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
65,32,F,Soltero,Tiempo Completo,Alto,4,1,"El equipo trabajó muy bien hoy, todos colaboraron de manera eficiente.",2024-06-08 01:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
89,48,M,Casado,Tiempo Completo,Alto,1,3,El apoyo de mis compañeros hoy fue fundamental para superar los obstáculos.,2024-06-23 07:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
71,35,M,Casado,Tiempo Completo,Alto,1,5,"Hoy fue un día muy satisfactorio, cumplí con todas mis metas y objetivos.",2025-01-04 13:06:38.987,No Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
9,44,M,Divorciado,Tiempo Completo,Bajo,4,1,"Hoy fue un día muy inspirador, aprendí cosas nuevas y valiosas.",2024-05-23 07:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
88,47,F,Casado,Tiempo Completo,Alto,3,7,"Hoy fue un día muy desalentador, no veo progreso en mi trabajo.",2025-03-12 08:06:38.987,Estresado,Realiza un breve ejercicio de relajación sentado o escribe en una nota lo que te preocupa para despejar la mente.
1,33,M,Casado,Tiempo Parcial,Alto,1,5,"Hoy fue un día muy productivo, logré avanzar en todos los proyectos importantes.",2024-09-13 21:06:38.987,No Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
8,31,F,Casado,Tiempo Parcial,Alto,1,2,"Hoy fue un día muy relajado, pude trabajar a mi propio ritmo.",2024-07-21 01:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
88,47,F,Casado,Tiempo Completo,Alto,4,9,Me siento agotado después de un día lleno de reuniones y tareas.,2025-03-05 05:06:38.987,Estresado,Realiza un breve ejercicio de relajación sentado o escribe en una nota lo que te preocupa para despejar la mente.
63,38,M,Casado,Tiempo Completo,Medio,4,2,"Hoy tuve que lidiar con un cliente muy difícil, pero logré resolver el problema.",2025-02-13 22:06:38.987,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
11,21,F,Casado,Tiempo Completo,Medio,1,5,Me siento agotado después de un día lleno de reuniones y tareas.,2024-10-17 20:06:38.987,Estresado,Ponte tus audífonos y escucha tu canción favorita por unos minutos.
81,56,M,Divorciado,Tiempo Completo,Bajo,4,5,Me siento feliz de haber terminado un proyecto importante hoy.,2024-06-14 16:06:38.987,No Estresado,"Tómate una pausa corta, ve por un vaso de agua y haz una pequeña caminata dentro de la oficina."
8,31,F,Casado,Tiempo Parcial,Alto,1,8,Me siento frustrado por la falta de apoyo de mi equipo.,2025-03-08 00:06:38.987,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
35,27,F,Casado,Tiempo Parcial,Medio,3,10,Me siento abrumado por la cantidad de responsabilidades que tengo.,2024-08-05 20:06:38.987,Estresado,Sal unos minutos a tomar aire fresco o mira un video relajante desde tu celular.
35,27,F,Casado,Tiempo Parcial,Medio,3,8,"Hoy fue un día muy caótico, pero logré mantener la calma y resolver los problemas.",2024-12-22 02:06:38.987,Estresado,Sal unos minutos a tomar aire fresco o mira un video relajante desde tu celular.
33,26,M,Casado,Tiempo Parcial,Medio,1,4,"Hoy tuve que lidiar con un cliente muy difícil, pero logré resolver el problema.",2025-01-01 23:06:38.987,No Estresado,Ponte tus audífonos y escucha tu canción favorita por unos minutos.
5,47,M,Soltero,Tiempo Parcial,Bajo,1,4,El ambiente en la oficina hoy fue muy animado y lleno de energía positiva.,2024-06-23 00:06:38.987,No Estresado,"Tómate una pausa corta, ve por un vaso de agua y haz una pequeña caminata dentro de la oficina."
